iteration,best_score
0,15.448618990571749
1,15.40827420146605
2,15.40827420146605
3,15.35821951351194
4,15.314683653116205
5,15.238429995147202
6,15.079147576294908
7,15.079147576294908
8,15.079147576294908
9,15.079147576294908
10,15.079147576294908
11,14.973865643342819
12,14.809165881654092
13,14.791533129465392
14,14.629724397228241
15,14.629724397228241
16,14.629724397228241
17,14.546747408758856
18,14.426160943528611
19,14.2700073052189
20,13.926565357063055
21,13.926565357063055
22,13.926565357063055
23,13.886376143034914
24,13.830184282969316
25,13.830184282969316
26,13.830184282969316
27,13.830184282969316
28,13.782613668222213
29,13.650838203507409
30,13.647616503661425
31,13.647616503661425
32,13.647616503661425
33,13.636142830114538
34,13.544296970873647
35,13.544296970873647
36,13.508967167275616
37,13.391654979466734
38,13.234392622683341
39,13.234392622683341
40,13.234392622683341
41,13.234392622683341
42,13.223189024152418
43,13.188933899233382
44,13.188933899233382
45,13.184015062928875
46,13.139176434556227
47,12.891639672941107
48,12.749673216343105
49,12.651845439061962
50,12.651845439061962
51,12.651845439061962
52,12.651845439061962
53,12.436208564903954
54,12.436208564903954
55,12.436208564903954
56,12.436208564903954
57,12.436208564903954
58,12.436208564903954
59,12.436208564903954
60,12.390285736502472
61,12.292232908179354
62,12.292232908179354
63,12.1063764827999
64,12.034137214178827
65,12.00983725083567
66,11.566705563377043
67,11.566705563377043
68,11.566705563377043
69,11.566705563377043
70,11.566705563377043
71,11.566705563377043
72,11.566705563377043
73,11.566705563377043
74,11.507554728508353
75,11.507554728508353
76,11.507554728508353
77,11.507554728508353
78,11.507554728508353
79,11.463890861863174
80,11.359335261749735
81,11.359335261749735
82,11.359335261749735
83,11.359335261749735
84,11.359335261749735
85,11.359335261749735
86,11.359335261749735
87,11.359335261749735
88,11.359335261749735
89,11.359335261749735
90,11.359335261749735
91,11.359335261749735
92,11.359335261749735
93,11.359335261749735
94,11.303988300948493
95,11.242360265658498
96,11.242360265658498
97,11.107022491504477
98,11.107022491504477
99,11.107022491504477
100,11.078696694857365
